Name,Source,Author
杯弓蛇影,Chinese Classic,Unknown
疑人偷斧,Chinese Classic,Unknown
鸡犬不宁,Chinese Classic,Unknown
息事宁人,Chinese Classic,Unknown
嫦娥奔月,Chinese Classic,Unknown
吴刚伐桂,Chinese Classic,Unknown
一暴十寒,Chinese Classic,Unknown
大禹治水,Chinese Classic,Unknown
刘海戏金蟾,Chinese Classic,Unknown
邯郸学步,Chinese Classic,Unknown
哪吒闹海,Chinese Classic,Unknown
一字千金,Chinese Classic,Unknown
沧海桑田,Chinese Classic,Unknown
哪吒闹东海,Chinese Classic,Unknown
狡兔三窟,Chinese Classic,Unknown
伏羲画卦,Chinese Classic,Unknown
一箭双雕,Chinese Classic,Unknown
一败涂地,Chinese Classic,Unknown
群龙无首,Chinese Classic,Unknown
八仙过海,Chinese Classic,Unknown
一鼓作气,Chinese Classic,Unknown
牛郎织女,Chinese Classic,Unknown
三人成虎,Chinese Classic,Unknown
步步为营,Chinese Classic,Unknown
闻鸡起舞,Chinese Classic,Unknown
入木三分,Chinese Classic,Unknown
投桃报李,Chinese Classic,Unknown
背水一战,Chinese Classic,Unknown
缘木求鱼,Chinese Classic,Unknown
老马识途,Chinese Classic,Unknown
有眼不识泰山,Chinese Classic,Unknown
投笔从戎,Chinese Classic,Unknown
画蛇添足,Chinese Classic,Unknown
如坐针毡,Chinese Classic,Unknown
闻风丧胆,Chinese Classic,Unknown
刻舟求剑,Chinese Classic,Unknown
以卵击石,Chinese Classic,Unknown
泥牛入海,Chinese Classic,Unknown
东施效颦,Chinese Classic,Unknown
一见钟情,Chinese Classic,Unknown
一叶障目,Chinese Classic,Unknown
指桑骂槐,Chinese Classic,Unknown
田螺姑娘,Chinese Classic,Unknown
盲人摸象,Chinese Classic,Unknown
田忌赛马,Chinese Classic,Unknown
后羿射日,Chinese Classic,Unknown
南辕北辙,Chinese Classic,Unknown
三打白骨精,Chinese Classic,Unknown
水落石出,Chinese Classic,Unknown
四面楚歌,Chinese Classic,Unknown
真假美猴王,Chinese Classic,Unknown
坐井观天,Chinese Classic,Unknown
唇亡齿寒,Chinese Classic,Unknown
千里之行，始于足下,Chinese Classic,Unknown
坐以待毙,Chinese Classic,Unknown
脱颖而出,Chinese Classic,Unknown
买椟还珠,Chinese Classic,Unknown
黔驴技穷,Chinese Classic,Unknown
望尘莫及,Chinese Classic,Unknown
左右逢源,Chinese Classic,Unknown
女娲补天,Chinese Classic,Unknown
木兰从军,Chinese Classic,Unknown
金蝉脱壳,Chinese Classic,Unknown
封神榜（简化为姜子牙封神）,Chinese Classic,Unknown
韩信点兵,Chinese Classic,Unknown
岳飞抗金,Chinese Classic,Unknown
岳母刺字,Chinese Classic,Unknown
